Top pages,Clicks,Impressions,CTR,Position
https://blankpane.com/tr/,0,3,0%,8.67
https://blankpane.com/ms/,0,3,0%,10
https://blankpane.com/it/,0,3,0%,11.67
https://blankpane.com/disclaimer/,0,3,0%,13.67
https://blankpane.com/green-screen/,0,3,0%,15.67
https://blankpane.com/orange-screen/,0,3,0%,18
https://blankpane.com/gray-screen/,0,3,0%,20
https://blankpane.com/fr/colors/,0,3,0%,21.33
https://blankpane.com/pl/blank-screen/,0,3,0%,27.67
https://blankpane.com/se/red-screen/,0,3,0%,31
https://blankpane.com/pt/colors/,0,3,0%,31.67
https://blankpane.com/guides/how-to-clean-your-monitor-with-a-white-screen/,0,3,0%,33.67
https://blankpane.com/tools/no-signal-screen/,0,3,0%,37
https://blankpane.com/white-screen/,0,3,0%,41.33
https://blankpane.com/fr/white-screen/,0,3,0%,45
https://blankpane.com/it/white-screen/,0,3,0%,51.67
https://blankpane.com/it/black-screen/,0,3,0%,82.67
https://blankpane.com/blue-screen/,0,2,0%,10
https://blankpane.com/es/,0,2,0%,11
https://blankpane.com/se/yellow-screen/,0,2,0%,11
https://blankpane.com/about/,0,2,0%,12
https://blankpane.com/ja/tools/,0,2,0%,15.5
https://blankpane.com/uk/colors/,0,2,0%,23
https://blankpane.com/pt/tools/,0,2,0%,24
https://blankpane.com/guides/how-to-set-up-a-green-screen-for-zoom/,0,2,0%,24.5
https://blankpane.com/ko/colors/,0,2,0%,25
https://blankpane.com/de/colors/,0,2,0%,26
https://blankpane.com/uk/yellow-screen/,0,2,0%,26.5
https://blankpane.com/purple-screen/,0,2,0%,28
https://blankpane.com/it/yellow-screen/,0,2,0%,29.5
https://blankpane.com/tools/zoom-light-screen/,0,2,0%,29.5
https://blankpane.com/zoom-background-screen/,0,2,0%,32
https://blankpane.com/tr/purple-screen/,0,2,0%,48.5
https://blankpane.com/tools/fake-update-screen/,0,2,0%,50
https://blankpane.com/guides/how-to-make-a-white-background/,0,2,0%,51
https://blankpane.com/pl/colors/,0,2,0%,54
https://blankpane.com/de/black-screen/,0,2,0%,54.5
https://blankpane.com/fr/black-screen/,0,2,0%,55
https://blankpane.com/tools/countdown-timer-fullscreen/,0,2,0%,72.5
https://blankpane.com/pl/pink-screen/,0,1,0%,4
https://blankpane.com/guides/how-to-use-a-black-screen-to-save-battery/,0,1,0%,5
https://blankpane.com/tr/pink-screen/,0,1,0%,7
https://blankpane.com/uk/red-screen/,0,1,0%,8
https://blankpane.com/fr/gray-screen/,0,1,0%,9
https://blankpane.com/guides/how-to-prank-someone-with-a-broken-screen/,0,1,0%,9
https://blankpane.com/tr/red-screen/,0,1,0%,9
https://blankpane.com/white-wallpaper/,0,1,0%,9
https://blankpane.com/fr/yellow-screen/,0,1,0%,10
https://blankpane.com/se/pink-screen/,0,1,0%,10
https://blankpane.com/pt/blank-screen/,0,1,0%,11
https://blankpane.com/se/black-screen/,0,1,0%,11
https://blankpane.com/se/white-screen/,0,1,0%,11
https://blankpane.com/ja/blue-screen/,0,1,0%,13
https://blankpane.com/yellow-screen/,0,1,0%,19
https://blankpane.com/guides/how-to-check-for-dead-pixels/,0,1,0%,22
https://blankpane.com/ko/blank-screen/,0,1,0%,24
https://blankpane.com/tr/tools/,0,1,0%,24
https://blankpane.com/ms/tools/,0,1,0%,25
https://blankpane.com/de/purple-screen/,0,1,0%,28
https://blankpane.com/fr/blog/,0,1,0%,28
https://blankpane.com/es/tools/,0,1,0%,30
https://blankpane.com/fr/tools/,0,1,0%,30
https://blankpane.com/pl/green-screen/,0,1,0%,30
https://blankpane.com/guides/how-to-use-black-and-white-backgrounds/,0,1,0%,33
https://blankpane.com/es/yellow-screen/,0,1,0%,41
https://blankpane.com/tr/blank-screen/,0,1,0%,43
https://blankpane.com/de/orange-screen/,0,1,0%,44
https://blankpane.com/de/red-screen/,0,1,0%,45
https://blankpane.com/pt/black-screen/,0,1,0%,45
https://blankpane.com/guides/how-to-test-screen-uniformity-and-backlight-bleed/,0,1,0%,46
https://blankpane.com/it/pink-screen/,0,1,0%,46
https://blankpane.com/uk/green-screen/,0,1,0%,47
https://blankpane.com/colors/,0,1,0%,48
https://blankpane.com/guides/how-to-remove-stuck-pixels/,0,1,0%,48
https://blankpane.com/tr/yellow-screen/,0,1,0%,53
https://blankpane.com/es/orange-screen/,0,1,0%,55
https://blankpane.com/pt/purple-screen/,0,1,0%,56
https://blankpane.com/ko/orange-screen/,0,1,0%,61
https://blankpane.com/ko/black-screen/,0,1,0%,62
https://blankpane.com/uk/black-screen/,0,1,0%,62
https://blankpane.com/ms/black-screen/,0,1,0%,63
https://blankpane.com/tr/gray-screen/,0,1,0%,67
https://blankpane.com/es/blue-screen/,0,1,0%,70
https://blankpane.com/ja/white-screen/,0,1,0%,77
https://blankpane.com/ms/gray-screen/,0,1,0%,81
https://blankpane.com/se/blue-screen/,0,1,0%,83
https://blankpane.com/ms/red-screen/,0,1,0%,84
https://blankpane.com/se/green-screen/,0,1,0%,85
https://blankpane.com/de/yellow-screen/,0,1,0%,86
https://blankpane.com/ja/orange-screen/,0,1,0%,88
https://blankpane.com/uk/pink-screen/,0,1,0%,90
https://blankpane.com/de/gray-screen/,0,1,0%,91
https://blankpane.com/uk/zoom-background-screen/,0,1,0%,94
https://blankpane.com/es/zoom-background-screen/,0,1,0%,95
https://blankpane.com/fr/zoom-background-screen/,0,1,0%,97
https://blankpane.com/se/zoom-background-screen/,0,1,0%,98
https://blankpane.com/ja/zoom-background-screen/,0,1,0%,99
https://blankpane.com/ms/zoom-background-screen/,0,1,0%,100
